Levier,Levier_court,Chantier associé,Objectif du levier,Δ GES 2030,Δ GES 2040,Δ GES 2050
Indicateur de chantier,,,,,,
Indicateur d'impact,,,,,,
Indicateur d'impact - autres,,,,,,
Autres indicateurs,,,,,,
Réduction des besoins de mobilité terrestre,Sobr. mob. terrestre,Se déplacer / Réduire la dépendance à la voiture,,,,
Développement des mobilités actives (vélo et marche),Mobilités actives,Se déplacer / Réduire la dépendance à la voiture,,,,
Développement des transports en commun,Transp. en commun,Se déplacer / Réduire la dépendance à la voiture,,,,
Développement du covoiturage,Covoiturage,Se déplacer / Réduire la dépendance à la voiture,,,,
Electrification des véhicules particuliers,Electrification VP,Se déplacer / Verdir les véhicules individuels,,,,
"Amélioration de l'efficacité environnementale (énergie, matières premières, polluants) des véhicules individuels neufs",Efficacité VP,Se déplacer / Verdir les véhicules individuels,,,,
Réduction de l'utilisation des véhicules particuliers les plus polluants,VP polluants,Se déplacer / Verdir les véhicules individuels,,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les véhicules individuels,,,,
Maîtrise du trafic aérien,Sobriété aérien,Se déplacer / Verdir le secteur aérien,,,,
"Amélioration de l'efficacité des aéronefs (énergie, polluants)",Efficacité aéronefs,Se déplacer / Verdir le secteur aérien,,,,
Incorporation de carburants durables (aviation),Carburants durables,Se déplacer / Verdir le secteur aérien,,,,
Maîtrise de la demande de transport de marchandises,Sobr. fret terrestre,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,,,,
Développement du fret ferroviaire,Fret ferroviaire,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,,,,
Développement du fret fluvial,Fret fluvial,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,,,,
Optimisation du chargements des poids lourds,Optim. chargement,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,,,,
Electrification des véhicules utilitaires légers,Electrification VUL,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Electrification des poids lourds,Electrification PL,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Amélioration de l'efficacité des véhicules utilitaires légers et des poids lourds neufs,Efficacité VUL & PL,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Electrification des transports en commun,Electrification TC,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Réduction de l'utilisation des poids lourds les plus polluants,PL polluants,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les utilitaires et poids lourds,,,,
Maîtrise de la demande de fret international,Sobr. fret maritime,Se déplacer / Verdir le secteur maritime et fluvial,,,,
"Amélioration de l'efficacité environnementale des navires (énergie, pollution)",Efficacité navires,Se déplacer / Verdir le secteur maritime et fluvial,,,,
Electrification des quais et des navires,Electrification à quai,Se déplacer / Verdir le secteur maritime et fluvial,,,,
"Evolution des carburants maritimes (intensité carbone, polluants)",Carburants durables,Se déplacer / Verdir le secteur maritime et fluvial,,,,
Sobriété énergétique du résidentiel,Sobriété résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,,,,
Sortie des chaudières au fioul (résidentiel),Fioul résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,,,,
Réduction de la part de chaudières au gaz (résidentiel),Gaz résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,,,,
"Amélioration de la performance (consommation d'énergie, polluants) des systèmes de chauffage (notamment au bois)",Efficacité chaudières,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,,,,
