Indicateur,ID,Indicateurs_Onglet,Indicateurs_Sous-onglet,Tags objectifs environnementaux,Ordre,Type de graphique,Sous-niveau (graphique),Description,Unité,Périmètre,Sources,Contact source/DG,Lien données source,Lien site source,Etat source,Fichier,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Objectifs 2030,Dernière mise à jour,Responsable SGPE,Version tdb,Prêt à publier,Statut recette,A supprimer de la V1,Commentaire suppression,Commentaire,ID Indicateur hub Ecolab
Emissions nationales de gaz à effet de serre (hors secteur UTCATF),b411c553-b48f-42dc-a993-c7dc5775d684,Transverse,Emissions / Puits,Atténuation,1,Barres simple,,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre (GES) comptabilisées dans l'inventaire national (hors secteur des terres), qu'elles correspondent à un usage intérieur ou à des exportations; en revanche elles excluent les émissions importées, les émissions du transport international, ainsi que le secteur des terres (et donc le puits carbone). Les chiffres de l'inventaire sont ainsi à distinguer de l'empreinte carbone, qui inclut les émissions importées et exclut les émissions exportées.",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"458,1880912413",mesuré,"439,0925600664",mesuré,"429,0065337563",mesuré,"389,4863396204",mesuré,"411,6254615911",mesuré,"395,6737418765",mesuré,"372,8657867441",mesuré,"362,4828933721",projection,"352,1",cible,"334,6333333333",projection,"317,1666666667",projection,"299,7",cible,"283,85",projection,268,cible,Run 2 SNBC,2024-10-08 7:06pm,Faustine Gaymard,Existant,true,false,true,,"Faustine : Espace manquante après ""exportation""
2024 doit apparaître en projection",
Total émissions nationales CO2 (hors secteur UTCATF) ,c72f6cc5-e6c7-4ac0-b25f-3770a74dea76,Transverse,Emissions / Puits,Atténuation,2,Barres simple,,"L'indicateur représente l'ensemble des émissions de dioxyde de carbone (CO2) comptabilisées dans l'inventaire national, en excluant le secteur des terres. 

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"346,9673627497",mesuré,"331,7384651139",mesuré,"325,0554318242",mesuré,"289,5384819532",mesuré,"314,8524579469",mesuré,"302,6143739308",mesuré,"281,6459936305",mesuré,"273,6729968152",projection,"265,7",cible,"251,2333333333",projection,"236,7666666667",projection,"222,3",cible,"208,5",projection,"194,7",cible,Run 2 SNBC,2024-10-08 7:06pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Total émissions nationales CH4 (hors secteur UTCATF) ,fd018d5e-bcc3-4b1e-9076-3072eab6e55b,Transverse,Emissions / Puits,Atténuation,3,Barres simple,,"L'indicateur représente l'ensemble des émissions de méthane (CH4) comptabilisées dans l'inventaire national, en excluant le secteur des terres.

",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"63,8440969464",mesuré,"62,6901359403",mesuré,"62,3295993671",mesuré,"61,0265826641",mesuré,"59,4925811376",mesuré,"58,1676280759",mesuré,"57,4075371853",mesuré,"56,6827685927",projection,"55,958",cible,"53,9970666667",projection,"52,0361333333",projection,"50,0752",cible,"49,0896",projection,"48,104",cible,Run 2 SNBC,2024-10-08 7:08pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Total émissions nationales N2O (hors secteur UTCATF) ,2a904484-b922-4c16-af20-b75662cd5aa1,Transverse,Emissions / Puits,Atténuation,4,Barres simple,,"L'indicateur représente l'ensemble des émissions de protoxyde d'azote (N2O) comptabilisées dans l'inventaire national, en excluant le secteur des terres. ",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"29,5295955811",mesuré,"28,5070505484",mesuré,"27,5533491544",mesuré,"26,4103845605",mesuré,"26,0865557911",mesuré,"24,9586298868",mesuré,"24,4876654296",mesuré,"24,2218327148",projection,"23,956",cible,"23,5231666667",projection,"23,0903333333",projection,"22,6575",cible,"22,210975",projection,"21,76445",cible,Run 2 SNBC,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Puits carbone,e1dfdf0a-2ca4-48c2-907a-67756e2c64ff,Transverse,Emissions / Puits,Atténuation,5,Barres simple,,"Le secteur des terres (souvent référencé 'UTCATF', acronyme de ""Utilisation des terres, changement d'affectation des terres et foresterie"") constitue d'une part une source d'émissions, mais d'autre part  un puits de carbone, en raison de l'absorption par les sols et la biomasse, notamment forestière. L'indicateur représente le solde des absorptions et émissions de GES de ce secteur.
",Millions de tonnes équivalent CO2 par an,Hexagone et outre-mer,"CITEPA (données définitives jusqu'en 2021, le reste provisoire).",,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"-19,4443071201",mesuré,"-24,3824575688",mesuré,"-18,611424716",mesuré,"-21,3541581369",mesuré,"-19,0451939181",mesuré,"-18,4997488383",mesuré,"-20,6545649754",mesuré,"-19,0236519804",projection,"-17,3927389853",projection,"-15,7618259902",projection,"-14,1309129951",projection,"-12,5",cible,"-15,3",projection,"-18,1",cible,Run 2 SNBC,2024-08-02 3:19pm,,Existant,true,false,false,,Faustine : 2024 doit apparaître en projection,
Emissions de gaz à effet de serre par habitant (hors secteur UTCATF),b968cf87-5cb6-4bca-9216-5ed58ff260f6,Transverse,Emissions / Puits,Atténuation,6,Barres simple,,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre comptabilisées dans l'inventaire national, hors UTCATF, rapportées au nombre d'habitants.
", Tonnes équivalent CO2 par habitant,Hexagone et Outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"6,5563748124",mesuré,"6,1750362973",mesuré,"6,0905381611",mesuré,"5,4481369309",mesuré,"5,7927374142",mesuré,"5,5487791923",mesuré,"5,1692383141",mesuré,,,,,,,,,,,,,,,Pas de cible,2024-08-02 3:19pm,,Existant,true,true,false,,,
Emissions de gaz à effet de serre par unité de PIB (hors secteur UTCTAF),cad5c26c-d210-4346-98be-b8e01e78f1fd,Transverse,Emissions / Puits,Atténuation,7,Barres simple,,"L'indicateur représente l'ensemble des émissions de gaz à effet de serre comptabilisées dans l'inventaire national, hors UTCATF, rapportées à la richesse nationale, mesurée par le PIB. 

", Grammes équivalent-CO2 par euro de richesse produite par an,Hexagone et Outre-mer,CITEPA ,,https://ressources.citepa.org/Comm_Divers/Secten/Citepa_Secten%202024.pdf,https://www.citepa.org/fr/secten/,Lien seulement,,"191,115802842",mesuré,"175,5903972123",mesuré,"168,4646054028",mesuré,"159,4345662917",mesuré,"157,0712492245",mesuré,"147,2265397955",mesuré,,,,,,,,,,,,,,,,,Pas de cible ,2024-08-02 3:19pm,,Existant,true,true,false,,,
Empreinte carbone par habitant,d089aef5-703e-4961-9c8f-6975957a96f6,Transverse,Empreinte,Atténuation,8,Barres simple,,"L'empreinte carbone inclut à la fois les émissions du territoire national comptabilisées dans l'inventaire et les émissions ""importées"", c'est-à-dire les émissions induites par notre consommation mais se réalisant en-dehors de nos frontières, mais exclut les émissions ""exportées"" (qui sont pour leur part incluses dans l'inventaire national). L'indicateur représente l'empreinte carbone française par habitant pour les 3 principaux gaz à effet de serre (CO2, CH4 et N2O). Les émissions de CO2 issues de la biomasse sont exclues.",Tonnes équivalent CO2 par habitant et par an,Hexagone et outre-mer appartenant à l'UE,"Traitement SDES des données CITEPA,Eurostat, Insee, Douanes, AIE, FAO. Données provisoires pour 2020 et suivantes.",,https://www.statistiques.developpement-durable.gouv.fr/media/7008/download?inline,https://www.statistiques.developpement-durable.gouv.fr/emissions-de-gaz-effet-de-serre-et-empreinte-carbone-en-2022-syntheses-des-connaissances-en-2023,Fichier et lien,,"9,7",mesuré,"9,4",mesuré,"9,3",mesuré,"8,4",projection,"8,5",projection,"9,2",projection,,,,,,,,,,,,,,,,,Pas de cible vue dans l'état actuel de la SNBC . NB: les 3 dernières années sont issus de calculs simplifiés.,2024-08-02 3:19pm,,Existant,true,false,false,,"Faustine : Espace manquante après ""CITEPA,"" dans les sources
",
Empreinte carbone nationale,6db624da-3e96-4c37-9958-4b3971083847,Transverse,Empreinte,Atténuation,9,Barres empilées,Emissions intérieures,"L'empreinte carbone nationale inclut à la fois les émissions du territoire national, et les émissions ""importées"", c'est-à-dire les émissions induites par notre consommation mais se réalisant en-dehors de nos frontières. L'indicateur représente - pour les 3 principaux gaz à effet de serre (CO2, CH4 et N2O) - d’une part les émissions directes des ménages ajoutées à celles de la production intérieure, hors exportations, et d’autre part les émissions associées aux importations pour un usage final ou pour une consommation intermédiaire.",Millions de tonnes équivalent CO2,Hexagone et outre-mer appartenant à l'UE,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7008/download?inline,https://www.statistiques.developpement-durable.gouv.fr/emissions-de-gaz-effet-de-serre-et-empreinte-carbone-en-2022-syntheses-des-connaissances-en-2023,Fichier et lien,,"329,800137662",mesuré,"315,874855812",mesuré,"313,84668556",mesuré,"286,128456115",mesuré,"289,975551722",mesuré,"274,871496109",mesuré,,,,,,,,,,,,,,,,,Pas de cible 2030,2024-08-01 9:37am,,Existant,true,true,false,,,
Empreinte carbone nationale,3d7186d0-0c44-4528-b80e-300ce822143b,Transverse,Empreinte,Atténuation,9,Barres empilées,Emissions importées,,,Hexagone et outre-mer appartenant à l'UE,SDES,,https://www.statistiques.developpement-durable.gouv.fr/media/7008/download?inline,https://www.statistiques.developpement-durable.gouv.fr/emissions-de-gaz-effet-de-serre-et-empreinte-carbone-en-2022-syntheses-des-connaissances-en-2023,Fichier et lien,,"316,6655536886",mesuré,"317,3606330968",mesuré,"311,3302685328",mesuré,"283,924821654",mesuré,"284,7892524191",mesuré,"348,073561785",mesuré,,,,,,,,,,,,,,,,,Pas de cible 2030,2024-08-01 9:37am,,Existant,true,true,false,,,
