Engagement,Thématique,Axe taxonomie
Réduire nos émissions nationales brutes (hors secteur des terres et forêt) de l'ordre de 50 % en 2030 par rapport à 1990 et atteindre la neutralité carbone en 2050,Émissions territoriales,Atténuation
"Limiter notre empreinte carbone à une fourchette comprise respectivement entre 462 et 506 Mt CO2e en 2030 et entre 160 et 215 Mt en 2050 (entre 2,3 t CO2e/hab et 3,1 t CO2e/hab)",Empreinte carbone,Atténuation
"Sécuriser la disponibilité des ressources énergétiques en électricité et biomasse nécessaires à la décarbonation, en jouant sur l'offre et la demande",Souveraineté énergétique,Atténuation
"Adapter nos territoires et organisations à un réchauffement mondial de 3 °C en 2100 (soit +4 °C en France hexagonale), afin de protéger les populations, assurer la souveraineté agricole, la résilience de l'économie, des infrastructures et des services essentiels, protéger le patrimoine naturel et culturel",Adaptation au changement climatique,Adaptation
"Disposer de 100 % de masses d'eau en ""bon état"" en 2027 (quantitatif, chimique et écologique)",Etat des masses d'eau,Eau
"Augmenter de 30 %, de 2010 à 2030, le rapport entre notre PIB et notre consommation intérieure de matières",Matières premières,Economie circulaire
"Réduire la quantité de déchets mis en décharge de 50% entre 2010 et 2025, et de 70 % d'ici 2050",Quantité de déchets,Economie circulaire
"Réduire de moitié l'utilisation et les risques globaux de produits phytopharmaceutiques, et de 30% l'utilisation d'azote minéral, en 2030 par rapport à la période 2011-2013",Polluants des sols et eau,Pollution
"Réduire d'ici 2030, par rapport à 2005, les émissions de respectivement : 77 % pour le dioxyde de soufre (SO2), 69 % pour les oxydes d'azote (NOx), 52 % pour les composés organiques volatils autres que le méthane (COVNM), 13 % pour l'ammoniac (NH3) et 57 % pour les particules fines (PM2,5)",Polluants atmosphériques,Pollution
Atteindre une augmentation de 10% d'ici 2030 (avec un t0 en 2024) de l'indice des oiseaux communs des milieux agricoles (+20% d'ici 2040 et +30% d'ici à 2050),Etat général de la biodiversité,Biodiversité
Restaurer au moins 30 % des habitats d'intérêt communautaire dégradés entre 2024 et 2030,Etat des habitats d'intérêt communautaire,Biodiversité
