Levier,Levier_court,Chantier associé,Leviers territoriaux,Com sur le levier territorial,Objectif du levier,Δ GES 2030,Δ GES 2040,Δ GES 2050
Indicateur de chantier,,,false,,,,,
Indicateur d'impact,,,false,,,,,
Indicateur d'impact - autres,,,false,,,,,
Autres indicateurs,,,false,,,,,
Réduction des besoins de mobilité terrestre,Sobr. mob. terrestre,Se déplacer / Réduire la dépendance à la voiture,true,,,,,
Développement des mobilités actives (vélo et marche),Mobilités actives,Se déplacer / Réduire la dépendance à la voiture,true,,,,,
Développement des transports en commun,Transp. en commun,Se déplacer / Réduire la dépendance à la voiture,true,,,,,
Développement du covoiturage,Covoiturage,Se déplacer / Réduire la dépendance à la voiture,true,,,,,
Electrification des véhicules particuliers,Electrification VP,Se déplacer / Verdir les véhicules individuels,true,,,,,
"Amélioration de l'efficacité environnementale (énergie, matières premières, polluants) des véhicules individuels neufs",Efficacité VP,Se déplacer / Verdir les véhicules individuels,true,,,,,
Réduction de l'utilisation des véhicules particuliers les plus polluants,VP polluants,Se déplacer / Verdir les véhicules individuels,true,un seul levier pour celui-ci + les deux suivants : efficacité des véhicules et carburants décarbonés,,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les véhicules individuels,true,,,,,
Maîtrise du trafic aérien,Sobriété aérien,Se déplacer / Verdir le secteur aérien,false,,,,,
"Amélioration de l'efficacité des aéronefs (énergie, polluants)",Efficacité aéronefs,Se déplacer / Verdir le secteur aérien,false,,,,,
Incorporation de carburants durables (aviation),Carburants durables,Se déplacer / Verdir le secteur aérien,false,,,,,
Maîtrise de la demande de transport de marchandises,Sobr. fret terrestre,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,"Un seul levier plus large : ""efficacité et sobriété logistique"" qui englobe l'optimisation du chargement des PL, l'efficacité des VUL et des PL neufs",,,,
Développement du fret ferroviaire,Fret ferroviaire,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,Un seul levier pour le fret ferroviaire te fluvial,,,,
Développement du fret fluvial,Fret fluvial,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,,,,,
Optimisation du chargements des poids lourds,Optim. chargement,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,,,,,
Electrification des véhicules utilitaires légers,Electrification VUL,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous un unique levier ""fret routier électrique"" avec l'électrification des PL",,,,
Electrification des poids lourds,Electrification PL,Se déplacer / Verdir les utilitaires et poids lourds,true,,,,,
Amélioration de l'efficacité des véhicules utilitaires légers et des poids lourds neufs,Efficacité VUL & PL,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous le levier 'efficacité et sobriété logistique""",,,,
Electrification des transports en commun,Electrification TC,Se déplacer / Verdir les utilitaires et poids lourds,false,,,,,
Réduction de l'utilisation des poids lourds les plus polluants,PL polluants,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous le levier 'efficacité et sobriété logistique""",,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les utilitaires et poids lourds,false,,,,,
Maîtrise de la demande de fret international,Sobr. fret maritime,Se déplacer / Verdir le secteur maritime et fluvial,false,,,,,
"Amélioration de l'efficacité environnementale des navires (énergie, pollution)",Efficacité navires,Se déplacer / Verdir le secteur maritime et fluvial,false,,,,,
Electrification des quais et des navires,Electrification à quai,Se déplacer / Verdir le secteur maritime et fluvial,false,,,,,
"Evolution des carburants maritimes (intensité carbone, polluants)",Carburants durables,Se déplacer / Verdir le secteur maritime et fluvial,false,,,,,
Sobriété énergétique du résidentiel,Sobriété résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,,,,
Sortie des chaudières au fioul (résidentiel),Fioul résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,,,,
Réduction de la part de chaudières au gaz (résidentiel),Gaz résidentiel,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,true,réintégré sous un seul levier : rénovation (résidentiel) ,,,,
"Amélioration de la performance (consommation d'énergie, polluants) des systèmes de chauffage (notamment au bois)",Efficacité chaudières,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,false,,,,,
Eradication des passoires thermiques,Passoires therm.,Se loger / Accélérer la rénovation énergétique de l'habitat particulier et collectif,false,,,,,
Sobriété et efficacité énergétique dans le tertiaire,Efficacité tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,,,,
Sortie des chaudières au fioul (tertiaire),Fioul tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,,,,
Sortie progressive des chaudières au gaz (tertiaire),Gaz tertiaire,Se loger / Rénover le parc tertiaire et verdir son exploitation,true,réintégré sous un seul levier : rénovation (tertiaire) ,,,,
Développement de l'usage de matériaux biosourcés dans la construction et rénovation,Constr. biosourcée,Se loger / Généraliser les pratiques durables de construction et rénovation,true,réintégré sous un seul levier : rénovation (tertiaire) ,,,,
Végétalisation et accueil des espèces dans le bâti,Végétalisation bâti,Se loger / Généraliser les pratiques durables de construction et rénovation,false,,,,,
Eradication des bouilloires thermiques,Bouilloires therm.,Se loger / Généraliser les pratiques durables de construction et rénovation,false,,,,,
Réduction des volumes et valorisation des déchets de la construction,Déchets construc.,Consommer / Développer la consommation responsable,false,,,,,
Restauration des capacités de production nucléaire,Elec. nucléaire,Produire / Accroitre notre production d'électricité décarbonée,false,,,,,
Développement de la production d'électricité renouvelable,Elec. renouvelable,Produire / Accroitre notre production d'électricité décarbonée,true,"levier ""électricité renouvelable""",,,,
